,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2013-01-31,"{'IVW': 229333.3203771978, 'PDP': 198332.76524564053, 'VYM': 203883.53511387025, '^SPX': 168051.306400221, 'SP5MV': 200399.07286307047}","{'IVW': 13501.039596601637, 'PDP': 7045.643970790246, 'VYM': 5783.921311181472, '^SPX': 112.1755465509325, 'SP5MV': 45.58243495558205}",1000000.0,1498.1099853515625,1000000.0,0.0
2013-04-30,"{'IVW': 165123.49215799844, 'PDP': 223536.25094277217, 'VYM': 277239.64105390734, '^SPX': 215603.31325602537, 'SP5MV': 197515.28831560755}","{'IVW': 9069.489248953709, 'PDP': 7313.206957679179, 'VYM': 7219.1222493168925, '^SPX': 134.9570413219418, 'SP5MV': 41.58102795409969}",1079017.9857263109,1597.5699462890625,1066390.2930425764,0.06639029304257638
2013-07-31,"{'IVW': 236979.6777648263, 'PDP': 230712.9139399766, 'VYM': 209586.3203447401, '^SPX': 242918.25202155634, 'SP5MV': 209206.97858845996}","{'IVW': 12320.156658044922, 'PDP': 7282.363829037282, 'VYM': 5193.359972343147, '^SPX': 144.10270614870848, 'SP5MV': 42.554524438227816}",1129404.1426595591,1685.72998046875,1125237.797592784,0.12523779759278408
2013-10-31,"{'IVW': 227111.71124408458, 'PDP': 251757.55738987963, 'VYM': 218742.60628884635, '^SPX': 251957.60579187144, 'SP5MV': 230659.33183920826}","{'IVW': 11115.481012762628, 'PDP': 7517.793633003541, 'VYM': 5261.241120413527, '^SPX': 143.43971682327614, 'SP5MV': 45.52960080834881}",1180228.8125538903,1756.5400390625,1172504.0592732527,0.17250405927325274
2014-01-31,"{'IVW': 258531.53079263977, 'PDP': 193499.59154591034, 'VYM': 268352.18889184593, '^SPX': 237906.17756678202, 'SP5MV': 240155.06825774917}","{'IVW': 12301.137483640516, 'PDP': 5573.321688858184, 'VYM': 6440.462950412859, '^SPX': 133.4609652968075, 'SP5MV': 47.76619785066574}",1198444.5570549273,1782.5899658203125,1189892.586826321,0.18989258682632104
2014-04-30,"{'IVW': 289051.6520007626, 'PDP': 284847.800937766, 'VYM': 171742.81523856043, '^SPX': 308720.45406794094, 'SP5MV': 213183.75865146637}","{'IVW': 13139.738999171956, 'PDP': 7984.523278109377, 'VYM': 3801.8330297022344, '^SPX': 163.86871311305657, 'SP5MV': 39.817512570268015}",1267546.4808964962,1883.949951171875,1257551.1608580376,0.25755116085803764
2014-07-31,"{'IVW': 326948.77316017123, 'PDP': 276800.0871709998, 'VYM': 196373.52141593033, '^SPX': 252564.57552931283, 'SP5MV': 249674.90580025435}","{'IVW': 14259.147780330244, 'PDP': 7530.613461729736, 'VYM': 4265.917148393038, '^SPX': 130.8170582132194, 'SP5MV': 45.980645635405956}",1302361.8630766685,1930.6700439453125,1288737.1840674574,0.2887371840674575
2014-10-31,"{'IVW': 330347.2045221473, 'PDP': 264406.75613038737, 'VYM': 288095.68480815727, '^SPX': 277784.6453852744, 'SP5MV': 213026.9398812047}","{'IVW': 13582.241402892594, 'PDP': 6774.613719935612, 'VYM': 5955.943064179312, '^SPX': 137.65002783086723, 'SP5MV': 37.301227962438155}",1373661.2307271708,2018.050048828125,1347064.01303009,0.34706401303008994
2015-01-31,"{'IVW': 255944.8023560444, 'PDP': 265742.4743838544, 'VYM': 300968.51295649284, '^SPX': 309479.41268092464, 'SP5MV': 243920.6590965648}","{'IVW': 10484.645862644806, 'PDP': 6709.073759760187, 'VYM': 6288.823046833282, '^SPX': 155.1283034981877, 'SP5MV': 42.0240578288487}",1376055.861473881,1994.989990234375,1331671.245596971,0.3316712455969708
2015-04-30,"{'IVW': 256693.2177234744, 'PDP': 279084.06726376346, 'VYM': 310922.6282940838, '^SPX': 380170.3182873981, 'SP5MV': 204783.4107038017}","{'IVW': 10044.317138957784, 'PDP': 6792.925993143771, 'VYM': 6203.690686241997, '^SPX': 182.29129397951084, 'SP5MV': 34.51204154989849}",1431653.6422725213,2085.510009765625,1392094.058618945,0.392094058618945
