,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2013-01-31,"{'IVW': 229333.3203771978, 'PDP': 198332.76524564053, 'VYM': 203883.53511387025, '^SPX': 168051.306400221, 'SP5MV': 200399.07286307047}","{'IVW': 13501.039596601637, 'PDP': 7045.643493396227, 'VYM': 5783.921311181472, '^SPX': 112.1755465509325, 'SP5MV': 45.58243495558205}",1000000.0,1498.1099853515625,1000000.0,0.0
2013-04-30,"{'IVW': 165123.48992495457, 'PDP': 223536.24791978463, 'VYM': 277239.6373046632, '^SPX': 215603.31034031877, 'SP5MV': 197515.28564451396}","{'IVW': 9069.489126302673, 'PDP': 7313.206858779186, 'VYM': 7219.122151689253, '^SPX': 134.95703949685327, 'SP5MV': 41.581027391779585}",1079017.9711342352,1597.5699462890625,1066390.2930425764,0.06639029304257638
2013-07-31,"{'IVW': 236979.67685930146, 'PDP': 230712.91305839777, 'VYM': 209586.31954388824, '^SPX': 242918.25109333958, 'SP5MV': 209206.9777890576}","{'IVW': 12320.157832631443, 'PDP': 7282.3620474802765, 'VYM': 5193.360443399897, '^SPX': 144.10270559807654, 'SP5MV': 42.5545242756224}",1129404.1383439845,1685.72998046875,1125237.797592784,0.12523779759278408
2013-10-31,"{'IVW': 227111.7344557731, 'PDP': 251757.58312046822, 'VYM': 218742.62864518023, '^SPX': 251957.63154290576, 'SP5MV': 230659.35541347723}","{'IVW': 11115.481111166555, 'PDP': 7517.792688623277, 'VYM': 5261.240209946755, '^SPX': 143.43973148336573, 'SP5MV': 45.52960546164875}",1180228.9331778046,1756.5400390625,1172504.0592732527,0.17250405927325274
2014-01-31,"{'IVW': 258531.5417560711, 'PDP': 193499.59975156124, 'VYM': 268352.2002717375, '^SPX': 237906.1876555632, 'SP5MV': 240155.07844189805}","{'IVW': 12301.136888922114, 'PDP': 5573.321312841572, 'VYM': 6440.462633887781, '^SPX': 133.46097095642716, 'SP5MV': 47.76619987626559}",1198444.6078768312,1782.5899658203125,1189892.586826321,0.18989258682632104
2014-04-30,"{'IVW': 289051.6529504657, 'PDP': 284847.80187365704, 'VYM': 171742.81580283566, '^SPX': 308720.4550822675, 'SP5MV': 213183.75935189927}","{'IVW': 13139.734485250083, 'PDP': 7984.524158121737, 'VYM': 3801.833684286049, '^SPX': 163.86871365146078, 'SP5MV': 39.81751270109175}",1267546.4850611251,1883.949951171875,1257551.1608580376,0.25755116085803764
2014-07-31,"{'IVW': 326948.76688354934, 'PDP': 276800.0818571108, 'VYM': 196373.51764603597, '^SPX': 252564.57068068677, 'SP5MV': 249674.90100710292}","{'IVW': 14259.143948157445, 'PDP': 7530.614880252637, 'VYM': 4265.917066497796, '^SPX': 130.81705570184982, 'SP5MV': 45.9806447526893}",1302361.8380744858,1930.6700439453125,1288737.1840674574,0.2887371840674575
2014-10-31,"{'IVW': 330347.2235850786, 'PDP': 264406.771388176, 'VYM': 288095.7014329332, '^SPX': 277784.6614150441, 'SP5MV': 213026.9521740828}","{'IVW': 13582.242186665942, 'PDP': 6774.611462269271, 'VYM': 5955.942938167298, '^SPX': 137.65003577406455, 'SP5MV': 37.30123011493328}",1373661.3099953146,2018.050048828125,1347064.01303009,0.34706401303008994
2015-01-31,"{'IVW': 255944.81149682504, 'PDP': 265742.4838745479, 'VYM': 300968.52370524465, '^SPX': 309479.42373363365, 'SP5MV': 243920.66780791673}","{'IVW': 10484.646237092136, 'PDP': 6709.072707094524, 'VYM': 6288.822268877676, '^SPX': 155.12830903842053, 'SP5MV': 42.024059329690644}",1376055.9106181678,1994.989990234375,1331671.245596971,0.3316712455969708
2015-04-30,"{'IVW': 256693.21782743547, 'PDP': 279084.06737679284, 'VYM': 310922.6284200079, '^SPX': 380170.3184413675, 'SP5MV': 204783.4107867392}","{'IVW': 10044.317143025744, 'PDP': 6792.9241037258635, 'VYM': 6203.691160935005, '^SPX': 182.29129405333902, 'SP5MV': 34.512041563875904}",1431653.6428523427,2085.510009765625,1392094.058618945,0.392094058618945
