,DGS10,DGS2,FEDFUNDS,CPIAUCSL,UNRATE,BAMLH0A0HYM2,A191RL1Q225SBEA,INDPRO,PAYEMS,CP,UMCSENT,VIXCLS,M2SL,USEPUINDXD,PNFIC1
2000-01-31,6.68,6.61,5.45,169.3,4.0,4.87,,91.4092,131011.0,,112.0,24.95,4667.6,55.95,
2000-02-29,6.42,6.53,5.73,170.0,4.1,5.08,,91.7245,131121.0,,111.3,23.37,4680.9,36.19,
2000-03-31,6.03,6.5,5.85,171.0,4.0,5.75,1.5,92.083,131604.0,565.043,107.1,24.11,4711.7,69.33,
2000-04-30,6.23,6.68,6.02,170.9,3.8,5.88,1.5,92.6659,131883.0,565.043,109.2,26.2,4767.8,48.25,
2000-05-31,6.29,6.69,6.27,171.2,4.0,6.16,1.5,92.9347,132105.0,565.043,110.7,23.65,4755.7,50.57,
2000-06-30,6.03,6.38,6.53,172.2,4.0,6.17,7.5,93.0018,132062.0,559.322,106.4,19.54,4773.6,47.4,
2000-07-31,6.04,6.3,6.54,172.7,4.0,6.26,7.5,92.8373,132228.0,559.322,108.3,20.74,4791.3,72.25,
2000-08-31,5.73,6.18,6.5,172.7,4.1,6.43,7.5,92.591,132234.0,559.322,107.3,16.84,4819.5,26.27,
2000-09-30,5.8,5.98,6.52,173.6,3.9,6.77,0.4,92.9827,132338.0,554.17,106.8,20.57,4855.2,140.95,
2000-10-31,5.77,5.94,6.51,173.9,3.9,7.79,0.4,92.64,132352.0,554.17,105.8,23.63,4871.3,43.8,
2000-11-30,5.48,5.61,6.51,174.2,3.9,9.06,0.4,92.6604,132556.0,554.17,107.6,29.65,4882.7,167.48,
2000-12-31,5.12,5.11,6.4,174.6,3.9,9.16,2.4,92.3457,132716.0,533.362,98.4,26.85,4927.6,266.22,
2001-01-31,5.19,4.62,5.98,175.6,4.2,7.87,2.4,91.8908,132703.0,533.362,94.7,22.02,4978.3,115.77,
2001-02-28,4.92,4.41,5.49,176.0,4.2,7.7,2.4,91.2851,132788.0,533.362,90.6,28.35,5017.0,173.46,
2001-03-31,4.93,4.18,5.31,176.1,4.3,8.18,-1.3,91.0585,132751.0,562.885,91.5,28.64,5074.8,40.83,
2001-04-30,5.35,4.3,4.8,176.4,4.4,8.06,-1.3,90.7384,132457.0,562.885,88.4,25.48,5139.1,52.21,
2001-05-31,5.43,4.22,4.21,177.3,4.3,7.68,-1.3,90.2607,132409.0,562.885,92.0,22.64,5137.2,56.66,
