,port_allocation,shares_owned,port_value,snp_price,snp_value,snp_return
2013-01-31,"{'IVW': 229333.3203771978, 'PDP': 198332.76524564053, 'VYM': 203883.53511387025, '^SPX': 168051.306400221, 'SP5MV': 200399.07286307047}","{'IVW': 13501.041112595329, 'PDP': 7045.644925578477, 'VYM': 5783.921937107083, '^SPX': 112.1755465509325, 'SP5MV': 45.58243495558205}",1000000.0,1498.1099853515625,1000000.0,0.0
2013-04-30,"{'IVW': 165123.50022197506, 'PDP': 223536.2618593963, 'VYM': 277239.6545931921, '^SPX': 215603.3237852363, 'SP5MV': 197515.29796147108}","{'IVW': 9069.487791595073, 'PDP': 7313.207771177041, 'VYM': 7219.124753140332, '^SPX': 134.9570479127086, 'SP5MV': 41.58102998475222}",1079018.038421271,1597.5699462890625,1066390.2930425764,0.06639029304257638
2013-07-31,"{'IVW': 236979.7283315277, 'PDP': 230712.96316947654, 'VYM': 209586.36506624948, '^SPX': 242918.3038554302, 'SP5MV': 209207.02322902542}","{'IVW': 12320.160508582223, 'PDP': 7282.363629216701, 'VYM': 5193.35960779864, '^SPX': 144.1027368973304, 'SP5MV': 42.554533518508244}",1129404.3836517092,1685.72998046875,1125237.797592784,0.12523779759278408
2013-10-31,"{'IVW': 227111.77330632307, 'PDP': 251757.6261870257, 'VYM': 218742.66606408087, '^SPX': 251957.6746436842, 'SP5MV': 230659.394870896}","{'IVW': 11115.480937339164, 'PDP': 7517.793974643928, 'VYM': 5261.24159268202, '^SPX': 143.43975602068198, 'SP5MV': 45.529613250106785}",1180229.1350720099,1756.5400390625,1172504.0592732527,0.17250405927325274
2014-01-31,"{'IVW': 258531.56668144916, 'PDP': 193499.61840712122, 'VYM': 268352.22614393866, '^SPX': 237906.2105924228, 'SP5MV': 240155.10159557627}","{'IVW': 12301.138074891476, 'PDP': 5573.32368725959, 'VYM': 6440.4626651786875, '^SPX': 133.46098382358116, 'SP5MV': 47.766204481469984}",1198444.7234205082,1782.5899658203125,1189892.586826321,0.18989258682632104
2014-04-30,"{'IVW': 289051.6899416639, 'PDP': 284847.83832687006, 'VYM': 171742.83778151136, '^SPX': 308720.49459056795, 'SP5MV': 213183.7866339529}","{'IVW': 13139.737306072342, 'PDP': 7984.525179936046, 'VYM': 3801.8338497768973, '^SPX': 163.86873462245336, 'SP5MV': 39.81751779671217}",1267546.647274566,1883.949951171875,1257551.1608580376,0.25755116085803764
2014-07-31,"{'IVW': 326948.81626190216, 'PDP': 276800.12366161804, 'VYM': 196373.54730389622, '^SPX': 252564.6088249581, 'SP5MV': 249674.9387149538}","{'IVW': 14259.150846261444, 'PDP': 7530.614454492216, 'VYM': 4265.916296729236, '^SPX': 130.81707545886186, 'SP5MV': 45.9806516970449}",1302362.0347673283,1930.6700439453125,1288737.1840674574,0.2887371840674575
2014-10-31,"{'IVW': 330347.2699229244, 'PDP': 264406.80847654643, 'VYM': 288095.74184415274, '^SPX': 277784.7003799328, 'SP5MV': 213026.98205539965}","{'IVW': 13582.240896460911, 'PDP': 6774.615061145694, 'VYM': 5955.942834199953, '^SPX': 137.65005508225204, 'SP5MV': 37.301235347181425}",1373661.502678956,2018.050048828125,1347064.01303009,0.34706401303008994
2015-01-31,"{'IVW': 255944.84523741854, 'PDP': 265742.5189067451, 'VYM': 300968.56338120665, '^SPX': 309479.4645315673, 'SP5MV': 243920.69996339607}","{'IVW': 10484.64516165051, 'PDP': 6709.074237671927, 'VYM': 6288.82410047208, '^SPX': 155.12832948861518, 'SP5MV': 42.024064869622066}",1376056.0920203335,1994.989990234375,1331671.245596971,0.3316712455969708
2015-04-30,"{'IVW': 256693.2422746298, 'PDP': 279084.09395646834, 'VYM': 310922.6580319547, '^SPX': 380170.3546483921, 'SP5MV': 204783.43029009766}","{'IVW': 10044.315850696801, 'PDP': 6792.927273569412, 'VYM': 6203.692223948704, '^SPX': 182.29131141457177, 'SP5MV': 34.51204485076675}",1431653.7792015425,2085.510009765625,1392094.058618945,0.392094058618945
2015-07-31,"{'IVW': 247683.4413730439, 'PDP': 265321.0742137416, 'VYM': 345561.87954758835, '^SPX': 407055.5150007422, 'SP5MV': 189604.67022795888}","{'IVW': 9368.29948835432, 'PDP': 6205.766671043459, 'VYM': 6982.710323473398, '^SPX': 193.4821554849583, 'SP5MV': 31.350652416133098}",1455226.580363075,2103.840087890625,1404329.5275125715,0.40432952751257156
2015-10-31,"{'IVW': 226286.13102730984, 'PDP': 233798.31277629329, 'VYM': 391201.5621708492, '^SPX': 379025.59194804134, 'SP5MV': 216381.7405632917}","{'IVW': 8528.105875254247, 'PDP': 5631.510832612984, 'VYM': 7851.514419194621, '^SPX': 182.27991899776407, 'SP5MV': 35.65836609652824}",1446693.3384857855,2079.360107421875,1387988.9512477352,0.38798895124773525
2016-01-31,"{'IVW': 220751.2693405003, 'PDP': 204188.96932226268, 'VYM': 383715.29516704724, '^SPX': 315700.4243358646, 'SP5MV': 238980.5785689504}","{'IVW': 8901.018796409007, 'PDP': 5481.44048786868, 'VYM': 7990.183702498956, '^SPX': 162.7120489861303, 'SP5MV': 40.32358996332624}",1363336.5367346252,1940.239990234375,1295125.1972191199,0.2951251972191198
